uniprot,predictive,VIP
A0A024R4R3,-0.58824,0.096959
A0A024R4R9,2.6918,1.3668
A0A024R4U3,1.2768,0.76704
A0A024R4V5,0.28787,0.13076
A0A024R4Y2,4.8081,1.9972
A0A024R4Z1,0.30078,0.013909
A0A024R4Z9,-4.12,1.7609
A0A024R509,0.82423,0.33009
A0A024R529,-5.2855,2.201
A0A024R567,0.85518,0.25063
A0A024R571,-3.2841,1.6527
A0A024R577,-1.2532,0.44748
A0A024R582,0.066477,0.15085
A0A024R588,-2.1198,0.7978
A0A024R598,-0.021502,0.2131
A0A024R5B2,-0.36472,0.026912
A0A024R5C5,-5.1408,1.8632
A0A024R5C6,-1.8773,0.79852
A0A024R5D2,-1.5286,0.72536
A0A024R5D7,-2.4228,0.79635
A0A024R5F7,2.7253,0.86348
A0A024R5F9,-0.89436,0.1261
A0A024R5H0,-3.1568,1.4191
A0A024R5H6,-0.10992,0.14627
A0A024R5I7,-1.653,0.84051
A0A024R5J5,-2.5311,0.78745
A0A024R5J6,4.5294,1.8977
A0A024R5J8,0.52318,0.069931
A0A024R5L0,-2.4008,0.80705
A0A024R5P6,2.3314,0.8627
A0A024R5Q1,2.0434,0.5447
A0A024R5Q8,-3.4117,1.2994
A0A024R5R0,2.2096,0.80035
A0A024R5R9,-2.4697,1.0751
A0A024R5S9,1.8284,0.55535
A0A024R5U4,2.3996,1.0649
A0A024R5U5,1.5918,0.8001
A0A024R5U8,3.8349,1.4964
A0A024R5U9,2.8242,0.90555
A0A024R5V1,0.13457,0.33817
A0A024R5W0,2.2068,0.82755
A0A024R5X3,-0.14785,0.27363
A0A024R5X7,3.1851,1.1253
A0A024R5Y1,3.4379,1.6098
A0A024R5Z0,-0.45089,0.038856
A0A024R5Z5,-2.7722,0.913
A0A024R5Z7,-2.9982,1.418
A0A024R5Z8,2.6907,0.88473
A0A024R601,0.58311,0.20239
A0A024R608,4.0061,1.672
A0A024R611,0.5154,0.60657
A0A024R625,-0.69641,0.27094
A0A024R648,1.7829,0.89174
A0A024R652,-0.94498,0.40311
A0A024R658,2.1718,0.73368
A0A024R667,0.63858,0.48455
A0A024R683,3.9075,1.4892
A0A024R687,-3.8941,1.7176
A0A024R688,2.8801,1.5213
A0A024R6A3,-0.65128,0.22763
A0A024R6A5,-1.8883,0.8538
A0A024R6B7,1.8342,0.86616
A0A024R6B9,0.82796,0.47697
A0A024R6D1,-4.1576,1.8789
A0A024R6D3,-4.0608,1.9237
A0A024R6D4,-2.4575,1.2003
A0A024R6D8,-0.64219,0.3738
A0A024R6E8,3.0837,1.3571
A0A024R6F4,3.5673,1.6151
A0A024R6G6,0.92597,0.15461
A0A024R6H0,-0.41134,0.0081226
A0A024R6H1,-1.8032,0.79071
A0A024R6H3,-2.562,1.0103
A0A024R6K1,1.6491,0.46351
A0A024R6K3,1.7607,0.92913
A0A024R6K5,-2.6425,0.92256
A0A024R6L5,-2.4893,0.97446
A0A024R6N1,3.7359,1.5319
A0A024R6N2,-4.9782,2.0924
A0A024R6Q2,4.9805,2.0977
A0A024R6R1,-0.73779,0.090136
A0A024R6R2,-0.12738,0.0010606
A0A024R6S1,0.72783,0.04137
A0A024R6S6,-0.99916,0.42274
A0A024R6U0,-2.3623,1.0067
A0A024R6U3,-2.1465,0.88099
A0A024R6U4,0.32596,0.40957
A0A024R6U9,-0.69864,0.074238
A0A024R6W0,0.61112,0.46311
A0A024R6W2,-3.0357,1.4369
A0A024R6X1,-2.0484,0.57818
A0A024R6Y3,0.6511,0.23491
A0A024R6Z0,-1.9867,0.85908
A0A024R713,1.8322,0.66745
A0A024R718,5.2298,2.3322
A0A024R726,0.4076,0.18467
A0A024R745,3.7653,1.6918
A0A024R755,0.91359,0.23163
A0A024R757,-1.413,0.64065
A0A024R774,-3.4576,1.4051
A0A024R781,1.8725,0.70812
A0A024R782,2.59,1.2829
A0A024R7B7,0.38378,0.15577
A0A024R7C0,1.0607,0.71705
A0A024R7C5,2.2244,1.2003
A0A024R7D0,3.4211,1.5901
A0A024R7D2,-5.1949,2.1664
A0A024R7E0,-1.7782,0.53129
A0A024R7E3,2.2727,0.89516
A0A024R7F9,-0.42724,0.4143
A0A024R7I0,-0.73832,0.47594
A0A024R7I3,-1.8701,0.99352
A0A024R7I4,1.7714,0.45732
A0A024R7I5,1.3778,0.75188
A0A024R7J0,-1.5629,0.34019
A0A024R7K6,-0.19464,0.27041
A0A024R7K9,0.34868,0.021549
A0A024R7L2,-2.1287,0.74926
A0A024R7M0,1.1394,0.39526
A0A024R7M1,-0.78049,0.588
A0A024R7M6,1.2184,0.31742
A0A024R7M7,-0.86201,0.26432
A0A024R7N6,-2.7856,1.1913
A0A024R7R0,-2.6779,0.93973
A0A024R7S3,-0.54624,0.15757
A0A024R7T3,-2.5337,1.0103
A0A024R7U6,-4.6629,1.7939
A0A024R7X0,-1.5065,0.77859
A0A024R7X7,-0.061147,0.23532
A0A024R806,0.2744,0.34026
A0A024R807,-5.0971,2.1017
A0A024R814,0.72563,0.0042305
A0A024R816,1.7213,0.5303
A0A024R823,-0.18619,0.29664
A0A024R829,2.1947,0.98546
A0A024R837,-2.3713,1.0309
A0A024R838,-0.78623,0.23546
A0A024R845,-4.8823,2.0336
A0A024R850,-1.0315,0.69377
A0A024R857,1.4468,0.76461
A0A024R869,0.060411,0.24729
A0A024R870,2.231,0.77756
A0A024R877,-1.6122,0.80342
A0A024R880,2.1948,0.9313
A0A024R892,-0.46185,0.32134
A0A024R899,-0.30554,0.025847
A0A024R8A0,1.4075,0.57673
A0A024R8A2,1.1786,0.32867
A0A024R8A7,0.56557,0.12409
A0A024R8A9,0.26879,0.26422
A0A024R8B0,-2.8949,1.2207
A0A024R8B2,-4.034,1.7375
A0A024R8B6,0.28863,0.32946
A0A024R8C1,0.35611,0.40755
A0A024R8C7,-2.8068,1.339
A0A024R8D2,-0.73228,0.58623
A0A024R8D4,1.075,0.17754
A0A024R8D5,2.1036,0.96413
A0A024R8E4,1.8208,0.84092
A0A024R8K0,-1.2357,0.31269
A0A024R8K8,0.16367,0.21051
A0A024R8L5,1.6001,0.40791
A0A024R8L7,3.8251,1.6359
A0A024R8N2,-5.5093,2.3588
A0A024R8N6,-1.6409,0.48389
A0A024R8P8,0.5297,0.23942
A0A024R8Q1,-1.3255,0.33708
A0A024R8R4,-1.0209,0.29915
A0A024R8R6,0.052931,0.23693
A0A024R8S5,4.4984,1.632
A0A024R8T9,-1.8062,0.94028
A0A024R8U1,-0.38165,0.40496
A0A024R8U4,0.8049,0.14305
A0A024R8U5,-2.8458,1.313
A0A024R8V6,3.5724,1.2312
A0A024R8W0,0.90269,0.33169
A0A024R8W9,-0.48168,0.18688
A0A024R8Y2,4.7357,2.0234
A0A024R8Z9,0.37575,0.40146
A0A024R904,0.81739,0.28431
A0A024R911,-0.13721,0.29655
A0A024R912,0.89055,0.30261
A0A024R914,1.9611,1.0995
A0A024R915,-3.4472,1.3266
A0A024R926,-3.0543,1.4224
A0A024R943,-0.10435,0.044971
A0A024R957,-0.0056306,0.34218
A0A024R962,5.3637,2.3014
A0A024R978,-5.1549,2.213
A0A024R980,-0.32921,0.055178
A0A024R994,-2.7398,1.3606
A0A024R9A0,-1.9306,0.91115
A0A024R9A9,1.4549,0.43113
A0A024R9B0,-0.47587,0.034253
A0A024R9B5,-0.64906,0.44261
A0A024R9B8,0.83993,0.38901
A0A024R9D7,1.5984,0.50581
A0A024R9D8,1.2117,0.27208
A0A024R9D9,0.30362,0.17288
A0A024R9E0,-0.38936,0.23839
A0A024R9G4,-0.98238,0.608
A0A024R9H2,3.3624,1.5845
A0A024R9I0,1.3188,0.32177
A0A024R9J0,-2.7699,1.0888
A0A024R9J7,-1.4959,0.42026
A0A024R9K4,1.7718,0.77221
A0A024R9K7,1.5279,0.723
A0A024R9L1,0.81144,0.38563
A0A024R9M9,0.72095,0.13717
A0A024R9N6,-2.7166,1.0206
A0A024R9P0,3.1598,1.001
A0A024R9R5,1.1855,0.58578
A0A024R9T3,0.04106,0.15715
A0A024R9T6,-1.4486,0.91614
A0A024R9V7,-4.798,1.8239
A0A024R9W8,-1.0664,0.2032
A0A024R9Y3,0.26483,0.13277
A0A024R9Y5,-0.34385,0.41954
A0A024R9Y6,4.3446,1.8475
A0A024R9Y7,-2.4318,1.2065
A0A024R9Z8,5.5825,2.2263
A0A024RA36,3.8812,1.2393
A0A024RA51,-1.0296,0.57756
A0A024RA52,-1.9195,0.44895
A0A024RA53,0.040828,0.031377
A0A024RA58,-4.6998,2.1183
A0A024RA66,-0.46646,0.19183
A0A024RA75,-2.7302,1.1833
A0A024RA89,1.4893,0.47387
A0A024RAB6,-4.2671,1.6358
A0A024RAC4,-1.5454,0.48138
A0A024RAC5,-0.25517,0.38815
A0A024RAC9,0.021622,0.26619
A0A024RAD5,4.6774,1.692
A0A024RAD7,0.013629,0.12579
A0A024RAD8,-3.6342,1.6019
A0A024RAE1,-0.36304,0.14336
A0A024RAF0,-3.7615,1.5626
A0A024RAF7,1.5673,0.88991
A0A024RAH0,-2.2854,0.74489
A0A024RAH8,5.1375,2.1883
A0A024RAI1,0.44693,0.13696
A0A024RAJ4,-0.93065,0.089565
A0A024RAJ9,3.4173,1.6028
A0A024RAL9,-2.1606,0.60021
A0A024RAM0,0.13952,0.11823
A0A024RAM1,2.1373,0.65749
A0A024RAM2,-2.1353,1.0655
