ensembl,predictive,VIP
ENSG00000053372,0.0080089,0.095236
ENSG00000053501,-1.0728,0.57924
ENSG00000053524,-0.62244,0.3858
ENSG00000053747,0.84408,0.38053
ENSG00000053770,0.48721,0.29101
ENSG00000053900,-0.46694,0.24146
ENSG00000054116,-0.91553,0.43915
ENSG00000054118,-2.6262,1.4134
ENSG00000054148,-1.9924,1.0766
ENSG00000054267,0.042638,0.14406
ENSG00000054277,-1.7166,0.77866
ENSG00000054282,1.0744,0.44795
ENSG00000054356,3.6858,1.9232
ENSG00000054392,-1.7866,0.95639
ENSG00000054523,-2.3914,1.3042
ENSG00000054598,3.2995,1.8095
ENSG00000054611,-0.88277,0.3696
ENSG00000054654,-0.80852,0.44835
ENSG00000054690,-0.40287,0.1711
ENSG00000054793,-2.403,1.3116
ENSG00000054965,-2.2912,1.171
ENSG00000054967,2.063,0.9747
ENSG00000054983,2.738,1.4905
ENSG00000055044,-1.0971,0.62527
ENSG00000055070,0.73531,0.26554
ENSG00000055130,2.9936,1.6076
ENSG00000055147,0.79677,0.48867
ENSG00000055163,-1.587,0.88147
ENSG00000055208,0.98746,0.57226
ENSG00000055211,2.6178,1.3995
ENSG00000055332,0.27184,0.20408
ENSG00000055483,-1.4006,0.87172
ENSG00000055609,0.28643,0.12995
ENSG00000055732,-2.6214,1.3582
ENSG00000055813,-2.1115,1.1973
ENSG00000055917,-0.48087,0.2243
ENSG00000055950,1.085,0.62503
ENSG00000056050,-0.62688,0.32419
ENSG00000056097,-0.57728,0.35001
ENSG00000056277,2.1066,1.0336
ENSG00000056291,-0.45507,0.12571
ENSG00000056558,-1.6983,0.8852
ENSG00000056586,-0.67784,0.42189
ENSG00000056736,-1.9283,1.0568
ENSG00000056972,3.3077,1.8496
ENSG00000057019,-0.15009,0.18368
ENSG00000057149,3.7309,2.0329
ENSG00000057252,2.54,1.2734
ENSG00000057294,-3.26,1.7993
ENSG00000057608,-0.45708,0.2839
ENSG00000057657,3.39,1.8867
ENSG00000057663,2.2871,1.2422
ENSG00000057704,3.7712,2.0063
ENSG00000057757,0.094369,0.064878
ENSG00000057935,-1.8301,0.83678
ENSG00000058056,3.6749,1.9608
ENSG00000058063,0.60672,0.30207
ENSG00000058085,-1.6027,0.90423
ENSG00000058091,-2.4999,1.3782
ENSG00000058262,-0.09712,0.097054
ENSG00000058272,-2.4123,1.3449
ENSG00000058335,2.5159,1.2647
ENSG00000058404,-3.5032,1.8829
ENSG00000058453,-3.0504,1.576
ENSG00000058600,-0.2239,0.21502
ENSG00000058668,0.42478,0.093193
ENSG00000058729,-0.15072,0.15115
ENSG00000058799,0.516,0.37738
ENSG00000058804,0.88168,0.53059
ENSG00000059122,-1.4625,0.74243
ENSG00000059145,1.1877,0.61149
ENSG00000059377,1.4423,0.77732
ENSG00000059378,-0.57593,0.20422
ENSG00000059573,0.13407,0.0096923
ENSG00000059588,2.956,1.5771
ENSG00000059691,-1.2593,0.5983
ENSG00000059728,1.6791,0.95775
ENSG00000059758,-0.081015,0.1078
ENSG00000059769,0.043966,0.18199
ENSG00000059804,2.2673,1.2475
ENSG00000060069,0.49436,0.31997
ENSG00000060138,-2.2338,1.1785
ENSG00000060140,-0.066386,0.077037
ENSG00000060237,0.57136,0.28585
ENSG00000060339,-1.9167,0.83799
ENSG00000060491,0.92277,0.54452
ENSG00000060642,3.1305,1.7264
ENSG00000060656,3.2351,1.7213
ENSG00000060688,2.3846,1.1898
ENSG00000060718,-3.1923,1.7809
ENSG00000060749,0.19972,0.028723
ENSG00000060762,3.3358,1.7515
ENSG00000060971,0.51696,0.26723
ENSG00000060982,0.46669,0.30925
ENSG00000061273,-3.3752,1.8217
ENSG00000061337,-2.3214,1.2899
ENSG00000061656,1.9089,1.0393
ENSG00000061676,0.2434,0.10335
ENSG00000061794,2.2047,1.1395
ENSG00000061918,1.8089,1.082
ENSG00000061936,-1.7934,0.82805
ENSG00000061938,-2.7469,1.4015
ENSG00000061987,0.40923,0.20555
ENSG00000062038,-2.9977,1.5594
ENSG00000062194,1.9146,1.092
ENSG00000062282,2.4826,1.3169
ENSG00000062370,-0.40643,0.27597
ENSG00000062485,-1.2274,0.75457
ENSG00000062582,-0.31819,0.1577
ENSG00000062598,3.0326,1.6377
ENSG00000062650,0.34062,0.17373
ENSG00000062716,0.16819,0.16172
ENSG00000062725,0.016015,0.078807
ENSG00000062822,-1.9098,1.1268
ENSG00000063046,-1.6968,0.83251
ENSG00000063127,-2.4989,1.2453
ENSG00000063169,-1.2886,0.65773
ENSG00000063176,1.2481,0.62304
ENSG00000063177,-1.5929,0.80896
ENSG00000063180,-1.0205,0.4684
ENSG00000063241,1.1484,0.62416
ENSG00000063244,0.13248,0.027105
ENSG00000063245,-2.0511,1.1162
ENSG00000063322,-0.15125,0.020456
ENSG00000063438,2.9422,1.6049
ENSG00000063587,-0.9725,0.66022
ENSG00000063601,-1.3635,0.84748
ENSG00000063660,-2.219,1.2087
ENSG00000063761,-1.5487,0.83751
ENSG00000063854,-0.87055,0.51161
ENSG00000063978,-2.569,1.4126
ENSG00000064012,3.6377,1.953
ENSG00000064042,1.0393,0.58922
ENSG00000064102,0.52129,0.23049
ENSG00000064115,-0.6779,0.43469
ENSG00000064199,1.9091,1.1233
ENSG00000064225,2.0161,1.0731
ENSG00000064300,1.5818,0.88575
ENSG00000064309,3.2826,1.7333
ENSG00000064313,0.69958,0.38102
ENSG00000064393,1.4593,0.65525
ENSG00000064419,-2.56,1.3214
ENSG00000064490,-0.10453,0.0032896
ENSG00000064545,0.40439,0.077604
ENSG00000064547,-3.2794,1.6725
ENSG00000064601,3.4882,1.8477
ENSG00000064607,-0.15432,0.14791
