uniprot,predictive,VIP
A0A024R411,2.3556,1.2343
A0A024R412,3.6417,1.9309
A0A024R415,2.8956,1.4548
A0A024R419,1.1718,0.51566
A0A024R438,2.2723,1.1349
A0A024R451,0.50694,0.14809
A0A024R454,-1.8349,0.92982
A0A024R462,2.6786,1.3557
A0A024R466,0.31053,0.25456
A0A024R472,-2.5423,1.2826
A0A024R473,-2.3856,1.1654
A0A024R491,-1.4702,0.78029
A0A024R493,-2.8207,1.4371
A0A024R497,-1.3553,0.5781
A0A024R499,-3.2602,1.7792
A0A024R4B7,-1.2097,0.54527
A0A024R4C5,1.9931,1.0192
A0A024R4D3,2.6315,1.2617
A0A024R4E1,-2.7022,1.4669
A0A024R4E5,0.91598,0.53372
A0A024R4E9,0.22326,0.0075886
A0A024R4H0,2.0657,1.0663
A0A024R4I7,-0.38925,0.3351
A0A024R4J6,-0.3506,0.18617
A0A024R4K3,-0.21348,0.092376
A0A024R4N0,-3.0219,1.4642
A0A024R4Q8,-3.1045,1.5572
A0A024R4R3,0.83264,0.49669
A0A024R4R9,0.12169,0.096286
A0A024R4U3,0.49299,0.26108
A0A024R4V5,-0.17325,0.021091
A0A024R4Y2,3.6419,1.9627
A0A024R4Z1,0.82479,0.41538
A0A024R4Z9,1.368,0.67206
A0A024R509,1.6124,0.69867
A0A024R529,-2.5104,1.2859
A0A024R567,-1.0594,0.52925
A0A024R571,-3.0359,1.5105
A0A024R577,-1.8816,0.9982
A0A024R582,1.149,0.56715
A0A024R588,0.44507,0.21602
A0A024R593,1.4575,0.75945
A0A024R598,-0.62773,0.34541
A0A024R5B2,-3.6847,1.9108
A0A024R5C5,-1.2823,0.60184
A0A024R5C6,-0.24537,0.19487
A0A024R5D2,0.69969,0.35109
A0A024R5F7,-1.936,0.87508
A0A024R5F9,2.8866,1.5345
A0A024R5H0,-2.3008,1.3432
A0A024R5H6,-3,1.5807
A0A024R5I7,0.27792,0.034002
A0A024R5J5,-1.5975,0.80756
A0A024R5J6,0.48906,0.31237
A0A024R5L0,2.3308,1.1472
A0A024R5Q1,-0.51734,0.17071
A0A024R5Q8,2.343,1.1801
A0A024R5R0,-0.90591,0.52845
A0A024R5S9,-2.4944,1.2989
A0A024R5U4,3.8065,1.9845
A0A024R5U5,2.6034,1.3697
A0A024R5U8,-3.2041,1.6667
A0A024R5U9,0.84503,0.4251
A0A024R5V1,0.27455,0.20586
A0A024R5V9,-1.9858,0.97563
A0A024R5W0,1.3496,0.74833
A0A024R5X3,0.94802,0.28004
A0A024R5X7,-1.723,0.92365
A0A024R5Y1,3.3094,1.6838
A0A024R5Y2,-0.28143,0.068976
A0A024R5Z0,0.031653,0.14565
A0A024R5Z5,2.3411,1.1254
A0A024R5Z7,-3.2544,1.5975
A0A024R5Z8,-0.57039,0.32751
A0A024R601,0.3912,0.20934
A0A024R608,1.0536,0.50304
A0A024R611,-0.73593,0.38218
A0A024R618,-1.6698,0.67438
A0A024R625,0.48608,0.27584
A0A024R648,-1.3856,0.69963
A0A024R652,-3.3264,1.7218
A0A024R658,3.2261,1.74
A0A024R667,0.13385,0.14809
A0A024R683,3.3649,1.7258
A0A024R687,-2.9709,1.5349
A0A024R688,-0.90099,0.39509
A0A024R6A3,1.0487,0.59608
A0A024R6A5,2.0262,0.92866
A0A024R6B7,-1.0414,0.54195
A0A024R6D1,-2.9208,1.5065
A0A024R6D3,-0.12151,0.14681
A0A024R6D4,-2.3309,1.1496
A0A024R6D8,-1.4872,0.71389
A0A024R6E8,1.1704,0.51965
A0A024R6F4,0.14752,0.13786
A0A024R6G6,-1.1237,0.40178
A0A024R6H0,1.1891,0.63232
A0A024R6H1,-3.4674,1.8232
A0A024R6H3,-0.58091,0.26981
A0A024R6K1,2.2746,1.0579
A0A024R6K3,-0.84001,0.47327
A0A024R6L5,-0.32874,0.38351
A0A024R6N1,2.7636,1.3909
A0A024R6N2,-2.3304,1.1388
