uniprot,predictive,VIP
A0A024RDS3,-1.8464,1.0624
A0A024RDS7,-2.7912,1.4222
A0A024RDT4,2.3951,1.3955
A0A024RDT6,2.0315,1.1381
A0A024RDT9,0.034934,0.069695
A0A024RDV7,-0.22608,0.16503
A0A024RDV9,-0.94844,0.57473
A0A024RDY0,2.2246,1.2878
A0A024RDZ2,-3.2726,1.7659
A0A024RE02,-1.446,0.71866
A0A024RE03,-3.1491,1.8
A0A059QFD5,-0.26166,0.098599
A0A067XG54,0.25122,0.23587
A0A068F7M9,-0.72302,0.54921
A0A075B6F3,-0.82481,0.55388
A0A075B6G3,0.90752,0.63409
A0A075B746,-3.2145,1.7914
A0A075B747,1.4874,0.63942
A0A075B749,-1.7143,1.1008
A0A075B7D9,0.14655,0.21183
A0A075B7F8,1.5654,0.89048
A0A087WSV0,-2.0716,0.94673
A0A087WSV8,2.8638,1.6055
A0A087WT12,-0.75514,0.29057
A0A087WT20,0.31281,0.0067594
A0A087WT42,1.6111,0.83571
A0A087WT44,-2.5532,1.4949
A0A087WTW0,1.2478,0.69417
A0A087WTY6,-1.174,0.80794
A0A087WU53,2.1931,1.2752
A0A087WUB1,1.4201,0.80342
A0A087WUB9,1.6582,1.0197
A0A087WUC6,-1.7842,0.89607
A0A087WUF6,-1.3065,0.77295
A0A087WUS0,-3.0584,1.6934
A0A087WUT6,-3.6277,2.0573
A0A087WUW9,1.3545,0.80231
A0A087WV05,0.58691,0.37961
A0A087WVA1,0.044875,0.14726
A0A087WVA8,-0.53866,0.3526
A0A087WVP1,3.0046,1.6799
A0A087WVQ6,-0.17455,0.19216
A0A087WW40,0.28314,0.099806
A0A087WWD4,-2.4278,1.3469
A0A087WWF6,1.1953,0.74248
A0A087WWI0,2.1103,1.0859
A0A087WWK8,-1.7103,1.1212
A0A087WWM0,2.2289,1.2237
A0A087WWS1,-1.72,0.81359
A0A087WXD1,0.72721,0.37802
A0A087WXF8,2.7108,1.6736
A0A087WXL6,-1.852,1.1069
A0A087WY31,0.75131,0.50526
A0A087WY96,0.67462,0.49963
A0A087WYF7,-1.1304,0.66065
A0A087WYL7,0.2106,0.24666
A0A087WYV9,2.9097,1.5442
A0A087WZ30,-1.3543,0.67547
A0A087WZ40,-0.98278,0.66512
A0A087WZ62,2.016,1.1811
A0A087WZE9,2.0744,1.2745
A0A087WZN1,-1.7566,0.95789
A0A087WZQ7,1.8837,1.0786
A0A087WZT3,3.3889,1.9152
A0A087X020,-1.2331,0.82518
A0A087X0I6,1.1404,0.34437
A0A087X0M0,-1.3564,0.81837
A0A087X0N2,-1.2841,0.83457
A0A087X0N3,-0.3549,0.15093
A0A087X0R6,-1.922,1.0459
A0A087X0V5,2.9741,1.6254
A0A087X0W9,0.71642,0.51812
A0A087X117,-0.26875,0.14229
A0A087X1E4,-0.54331,0.34448
A0A087X1I8,2.9102,1.7162
A0A087X1N8,-1.1477,0.72345
A0A087X1R1,1.4902,0.74188
A0A087X1U6,0.94802,0.54872
A0A087X1Z1,2.6305,1.5121
A0A087X1Z3,-1.0384,0.58712
A0A087X211,-0.41144,0.30288
A0A087X243,0.78267,0.46639
A0A087X266,-0.99772,0.61108
A0A087X295,0.7213,0.25356
A0A087X2I1,-0.037744,0.018182
A0A088AWN2,-1.8137,0.83001
A0A090N7T9,0.27988,0.12763
A0A090N7Y2,0.93733,0.35626
A0A090N8P3,1.5876,0.85428
A0A090N8Q3,1.7879,0.94056
A0A090N8Y5,0.76376,0.69535
A0A090N8Y8,-0.72712,0.37055
A0A096LNH0,-1.0498,0.65637
A0A096LNK9,-0.42821,0.2018
A0A096LNX8,-2.7798,1.5835
A0A096LP25,-2.7744,1.566
A0A096LP55,0.54234,0.39725
A0A096LPC5,0.10317,0.0067706
A0A096LPI6,-1.7513,1.0164
