#ncbi_taxid	child_cluster_id	parent_cluster_id
9606	CL:12164	CL:12163
9606	CL:12165	CL:12164
9606	CL:12166	CL:12165
9606	CL:12167	CL:12166
9606	CL:12170	CL:12167
9606	CL:12173	CL:12170
9606	CL:12174	CL:12173
9606	CL:12176	CL:12174
9606	CL:12178	CL:12176
9606	CL:12181	CL:12178
9606	CL:12183	CL:12181
9606	CL:12186	CL:12183
9606	CL:122	CL:121
9606	CL:12212	CL:12181
9606	CL:12230	CL:12178
9606	CL:12249	CL:12176
9606	CL:12251	CL:12249
9606	CL:12253	CL:12251
9606	CL:123	CL:122
9606	CL:12300	CL:12173
9606	CL:12302	CL:12300
9606	CL:12305	CL:12302
9606	CL:12306	CL:12305
9606	CL:12307	CL:12306
9606	CL:12309	CL:12307
9606	CL:12325	CL:12307
9606	CL:12338	CL:12306
9606	CL:1235	CL:728
9606	CL:12354	CL:12305
9606	CL:12373	CL:12300
9606	CL:1238	CL:1235
9606	CL:124	CL:123
9606	CL:1240	CL:1238
9606	CL:12413	CL:12166
9606	CL:12414	CL:12413
9606	CL:12415	CL:12414
9606	CL:12418	CL:12415
9606	CL:1242	CL:1240
9606	CL:12441	CL:12414
9606	CL:1245	CL:1242
9606	CL:12460	CL:12413
9606	CL:1247	CL:1245
9606	CL:12473	CL:12165
9606	CL:12474	CL:12473
9606	CL:12477	CL:12474
9606	CL:12479	CL:12477
9606	CL:12481	CL:12479
9606	CL:12482	CL:12481
9606	CL:12484	CL:12482
9606	CL:12485	CL:12484
9606	CL:12487	CL:12485
9606	CL:125	CL:124
9606	CL:12506	CL:12484
9606	CL:12529	CL:12481
9606	CL:12539	CL:12479
9606	CL:12554	CL:12477
9606	CL:12571	CL:12474
9606	CL:12583	CL:12473
9606	CL:12585	CL:12583
9606	CL:126	CL:125
9606	CL:12604	CL:12164
9606	CL:12605	CL:12604
9606	CL:12606	CL:12605
9606	CL:12607	CL:12606
9606	CL:12608	CL:12607
9606	CL:12610	CL:12608
9606	CL:12611	CL:12610
9606	CL:12612	CL:12611
9606	CL:12613	CL:12612
9606	CL:12615	CL:12613
9606	CL:12616	CL:12615
9606	CL:12618	CL:12616
9606	CL:12636	CL:12616
9606	CL:12645	CL:12615
9606	CL:12660	CL:12613
9606	CL:12672	CL:12612
9606	CL:12683	CL:12611
9606	CL:127	CL:126
9606	CL:12701	CL:12610
9606	CL:12703	CL:12701
9606	CL:12706	CL:12703
9606	CL:12708	CL:12706
9606	CL:12738	CL:12701
9606	CL:12760	CL:12608
9606	CL:12763	CL:12760
9606	CL:12781	CL:12607
9606	CL:12785	CL:12781
9606	CL:128	CL:127
9606	CL:12801	CL:12606
9606	CL:12803	CL:12801
9606	CL:12804	CL:12803
9606	CL:12805	CL:12804
9606	CL:12807	CL:12805
9606	CL:12810	CL:12807
9606	CL:12835	CL:12805
9606	CL:12848	CL:12804
9606	CL:12860	CL:12803
9606	CL:12861	CL:12860
9606	CL:12876	CL:12860
9606	CL:12893	CL:12801
9606	CL:129	CL:128
9606	CL:12909	CL:12605
9606	CL:1291	CL:1235
9606	CL:12912	CL:12909
9606	CL:12913	CL:12912
9606	CL:12926	CL:12912
9606	CL:12941	CL:12909
9606	CL:12942	CL:12941
9606	CL:12947	CL:12942
9606	CL:12963	CL:12941
9606	CL:12972	CL:12604
9606	CL:12973	CL:12972
9606	CL:12976	CL:12973
9606	CL:12977	CL:12976
9606	CL:12988	CL:12976
9606	CL:130	CL:129
9606	CL:13007	CL:12972
9606	CL:13008	CL:13007
9606	CL:13017	CL:13007
9606	CL:13032	CL:12163
9606	CL:13044	CL:12162
9606	CL:13047	CL:13044
9606	CL:13051	CL:13047
9606	CL:13054	CL:13051
9606	CL:1306	CL:135
9606	CL:13093	CL:11103
9606	CL:13094	CL:13093
9606	CL:13095	CL:13094
9606	CL:13096	CL:13095
9606	CL:13098	CL:13096
9606	CL:13099	CL:13098
9606	CL:131	CL:130
9606	CL:13100	CL:13099
9606	CL:13102	CL:13100
9606	CL:13103	CL:13102
9606	CL:13104	CL:13103
9606	CL:13108	CL:13104
9606	CL:13109	CL:13108
9606	CL:13110	CL:13109
9606	CL:13111	CL:13110
9606	CL:13113	CL:13111
9606	CL:13114	CL:13113
9606	CL:13117	CL:13114
9606	CL:13119	CL:13117
9606	CL:13120	CL:13119
9606	CL:13121	CL:13120
9606	CL:13123	CL:13121
9606	CL:13127	CL:13123
9606	CL:13130	CL:13127
9606	CL:13131	CL:13130
9606	CL:13132	CL:13131
9606	CL:13135	CL:13132
9606	CL:13138	CL:13135
9606	CL:13170	CL:13131
9606	CL:13190	CL:13130
9606	CL:132	CL:131
9606	CL:13206	CL:13127
9606	CL:1322	CL:134
9606	CL:1323	CL:1322
9606	CL:13232	CL:13120
9606	CL:1324	CL:1323
9606	CL:13241	CL:13119
9606	CL:1325	CL:1324
9606	CL:1326	CL:1325
9606	CL:13269	CL:13113
9606	CL:1327	CL:1326
9606	CL:13270	CL:13269
9606	CL:1328	CL:1327
9606	CL:13281	CL:13269
9606	CL:1329	CL:1328
9606	CL:133	CL:132
9606	CL:13305	CL:13110
9606	CL:13307	CL:13305
9606	CL:13308	CL:13307
9606	CL:1331	CL:1329
9606	CL:13310	CL:13308
9606	CL:13312	CL:13310
9606	CL:13314	CL:13312
9606	CL:1333	CL:1331
9606	CL:13339	CL:13310
9606	CL:1334	CL:1333
9606	CL:1335	CL:1334
9606	CL:13356	CL:13308
9606	CL:13365	CL:13307
9606	CL:1337	CL:1335
9606	CL:13381	CL:13305
9606	CL:13395	CL:13109
9606	CL:13398	CL:13395
9606	CL:134	CL:133
9606	CL:13426	CL:13108
9606	CL:13444	CL:13104
9606	CL:13446	CL:13444
9606	CL:13475	CL:13103
9606	CL:13478	CL:13475
9606	CL:13479	CL:13478
9606	CL:13481	CL:13479
9606	CL:13484	CL:13481
9606	CL:13489	CL:13484
9606	CL:135	CL:134
9606	CL:13515	CL:13479
9606	CL:13517	CL:13515
9606	CL:13527	CL:13515
9606	CL:13536	CL:13478
9606	CL:13538	CL:13536
9606	CL:13541	CL:13538
9606	CL:13567	CL:13475
9606	CL:13568	CL:13567
9606	CL:13571	CL:13568
9606	CL:13575	CL:13571
9606	CL:1358	CL:1334
9606	CL:136	CL:135
9606	CL:13604	CL:13567
9606	CL:13606	CL:13604
9606	CL:13628	CL:13102
9606	CL:1363	CL:1358
9606	CL:13654	CL:13099
9606	CL:13672	CL:13098
9606	CL:13676	CL:13672
9606	CL:13680	CL:13676
9606	CL:13696	CL:13676
9606	CL:137	CL:136
9606	CL:13721	CL:13096
9606	CL:13737	CL:13095
9606	CL:13738	CL:13737
9606	CL:13740	CL:13738
9606	CL:13743	CL:13740
9606	CL:13745	CL:13743
9606	CL:13746	CL:13745
9606	CL:13748	CL:13746
9606	CL:13752	CL:13748
9606	CL:13756	CL:13752
9606	CL:13761	CL:13756
9606	CL:13762	CL:13761
9606	CL:13763	CL:13762
9606	CL:13764	CL:13763
9606	CL:13765	CL:13764
9606	CL:13784	CL:13764
9606	CL:1379	CL:1333
9606	CL:13795	CL:13763
9606	CL:138	CL:137
9606	CL:13804	CL:13762
9606	CL:13818	CL:13761
9606	CL:13860	CL:13746
9606	CL:13871	CL:13745
9606	CL:13874	CL:13871
9606	CL:139	CL:138
9606	CL:13907	CL:13740
9606	CL:13923	CL:13738
9606	CL:13925	CL:13923
9606	CL:13928	CL:13925
9606	CL:13948	CL:13923
9606	CL:1397	CL:1331
9606	CL:13971	CL:13737
9606	CL:13982	CL:13094
9606	CL:13984	CL:13982
9606	CL:13985	CL:13984
9606	CL:13986	CL:13985
9606	CL:13987	CL:13986
9606	CL:13989	CL:13987
9606	CL:13991	CL:13989
9606	CL:140	CL:139
9606	CL:1400	CL:1397
9606	CL:14005	CL:13989
9606	CL:14025	CL:13987
9606	CL:14035	CL:13986
9606	CL:1404	CL:1400
9606	CL:14045	CL:13985
9606	CL:14046	CL:14045
9606	CL:14048	CL:14046
9606	CL:14050	CL:14048
9606	CL:1407	CL:1404
9606	CL:14074	CL:14046
9606	CL:14086	CL:14045
9606	CL:14097	CL:13984
9606	CL:141	CL:140
9606	CL:14123	CL:13982
9606	CL:14125	CL:14123
9606	CL:14137	CL:14123
9606	CL:14153	CL:13093
9606	CL:14154	CL:14153
9606	CL:14155	CL:14154
9606	CL:14156	CL:14155
9606	CL:14159	CL:14156
9606	CL:14160	CL:14159
9606	CL:14161	CL:14160
9606	CL:14162	CL:14161
9606	CL:14164	CL:14162
9606	CL:14181	CL:14162
9606	CL:14198	CL:14161
9606	CL:142	CL:141
9606	CL:14212	CL:14160
9606	CL:14214	CL:14212
9606	CL:1423	CL:1404
9606	CL:14231	CL:14159
9606	CL:14245	CL:14156
9606	CL:14259	CL:14155
9606	CL:14261	CL:14259
9606	CL:14263	CL:14261
9606	CL:14265	CL:14263
9606	CL:14290	CL:14261
9606	CL:143	CL:142
9606	CL:14308	CL:14259
9606	CL:14311	CL:14308
9606	CL:14313	CL:14311
9606	CL:14323	CL:14311
9606	CL:14344	CL:14154
9606	CL:14346	CL:14344
9606	CL:14347	CL:14346
9606	CL:14348	CL:14347
9606	CL:14350	CL:14348
9606	CL:14351	CL:14350
9606	CL:14352	CL:14351
9606	CL:14355	CL:14352
9606	CL:14357	CL:14355
9606	CL:14359	CL:14357
9606	CL:14384	CL:14355
9606	CL:144	CL:143
9606	CL:14406	CL:14351
9606	CL:14408	CL:14406
9606	CL:14418	CL:14406
9606	CL:14433	CL:14350
9606	CL:14453	CL:14348
9606	CL:14465	CL:14347
9606	CL:14468	CL:14465
9606	CL:14486	CL:14346
9606	CL:1449	CL:1397
9606	CL:145	CL:144
9606	CL:14503	CL:14344
9606	CL:14517	CL:14153
9606	CL:14519	CL:14517
9606	CL:14544	CL:11102
9606	CL:14545	CL:14544
9606	CL:14546	CL:14545
9606	CL:14547	CL:14546
9606	CL:14548	CL:14547
9606	CL:14549	CL:14548
9606	CL:14550	CL:14549
9606	CL:14551	CL:14550
9606	CL:14552	CL:14551
9606	CL:14553	CL:14552
9606	CL:14554	CL:14553
9606	CL:14555	CL:14554
9606	CL:14556	CL:14555
9606	CL:14557	CL:14556
9606	CL:14558	CL:14557
9606	CL:14561	CL:14558
9606	CL:14562	CL:14561
9606	CL:14563	CL:14562
9606	CL:14565	CL:14563
9606	CL:14567	CL:14565
9606	CL:14570	CL:14567
9606	CL:14571	CL:14570
9606	CL:14573	CL:14571
9606	CL:14575	CL:14573
9606	CL:14579	CL:14575
9606	CL:14581	CL:14579
9606	CL:14584	CL:14581
9606	CL:14586	CL:14584
9606	CL:14587	CL:14586
9606	CL:14590	CL:14587
9606	CL:14592	CL:14590
9606	CL:14607	CL:14590
9606	CL:14627	CL:14586
9606	CL:1464	CL:1329
9606	CL:1466	CL:1464
9606	CL:14662	CL:14579
